checkpoint,arch,method,seed,domain,n_samples,source_T,raw_accuracy,raw_nll,raw_brier,raw_ece,raw_adaptive_ece,raw_classwise_ece,sourcets_accuracy,sourcets_nll,sourcets_brier,sourcets_ece,sourcets_adaptive_ece,sourcets_classwise_ece,oracle_T,oraclets_accuracy,oraclets_nll,oraclets_brier,oraclets_ece,oraclets_adaptive_ece,oraclets_classwise_ece
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_defocus_blur_sev3,10000,1.3811187744140625,0.8904,0.4434979,0.17783342925348225,0.06285667411983012,0.06210150298476219,0.014595003733179766,0.8904,0.37533844,0.16920300496993998,0.033390608957409834,0.03234166845679282,0.011057026085346006,1.5136878490447998,0.8904,0.36838937,0.16743445960555117,0.020510661813616746,0.020221229922771443,0.01034419652885292
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_defocus_blur_sev4,10000,1.3811187744140625,0.8046,0.7848166,0.31187407534168526,0.1147539885953069,0.11464731613993645,0.02753992881941376,0.8046,0.65536386,0.2936456513679913,0.07068512974083423,0.07055722470283508,0.022171316663997714,1.6295299530029297,0.8046,0.6285965,0.2865353667532173,0.036362717637419724,0.035187133669853196,0.019816665129857136
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_defocus_blur_sev5,10000,1.3811187744140625,0.5616,1.8890258,0.6957229865733638,0.27723654997199776,0.2772365765035152,0.06554035554296103,0.5616,1.532293,0.6443856968653474,0.20345644814819097,0.20297159252166747,0.055209307379927484,1.9881573915481567,0.5616,1.3549695,0.5972125852538293,0.08063060319423676,0.07974420796036721,0.0420760634319298
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_elastic_transform_sev1,10000,1.3811187744140625,0.9028,0.36859825,0.1539367358213843,0.05312045703828332,0.05308002420663834,0.011691582795528229,0.9028,0.3186888,0.14600880836145774,0.024761601322889324,0.02416626472473145,0.00762218107700348,1.4465105533599854,0.9028,0.316492,0.1452234861801966,0.018710398614406626,0.018573610621690755,0.007259021544693968
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_elastic_transform_sev2,10000,1.3811187744140625,0.9013,0.38359475,0.1596235713563116,0.05565813182890416,0.05549575001597404,0.012394912847313097,0.9013,0.32871234,0.15130455103412474,0.028923426693677895,0.027592257386446,0.008184669568841344,1.4685018062591553,0.9013,0.3253027,0.15011867544030053,0.021667373740673058,0.021611554980278,0.007751159419252071
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_elastic_transform_sev3,10000,1.3811187744140625,0.8682,0.53779066,0.21562158471669218,0.07412425926327705,0.07356548377275468,0.01751236204303335,0.8682,0.4544042,0.205091050563325,0.04216215849816802,0.04315238344073295,0.013041982435281388,1.5435034036636353,0.8682,0.44368,0.20243683157166004,0.028538938273489453,0.028490787839889523,0.011949861503404099
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_elastic_transform_sev4,10000,1.3811187744140625,0.8023,0.7916564,0.3111866286704132,0.11721297646313907,0.11715662822723391,0.02655479080837453,0.8023,0.6597809,0.29297772140059053,0.0740077541068196,0.07354643047451974,0.021003066257061435,1.644088864326477,0.8023,0.6307369,0.2856572228044905,0.03679406337738038,0.0362567848801613,0.018556022287439557
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_elastic_transform_sev5,10000,1.3811187744140625,0.7616,0.97631896,0.3811679410947481,0.1374154501006007,0.13685331994891167,0.03167431761460146,0.7616,0.81382996,0.3584459161379429,0.08578722512423992,0.08514244470596313,0.024318488745917567,1.6844406127929688,0.7616,0.7724669,0.3480757510532404,0.04123962860703468,0.041394360533356656,0.021169977104729044
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_fog_sev1,10000,1.3811187744140625,0.9408,0.21752143,0.09255871546446721,0.0344437484532595,0.03437053022384644,0.007443107750162307,0.9408,0.18931939,0.08762829663637721,0.015103276947140684,0.017274015110731122,0.004458970417210367,1.390847086906433,0.9408,0.18917361,0.08754546367938026,0.01443416910171508,0.01689517649412155,0.004406309489310952
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_fog_sev2,10000,1.3811187744140625,0.9307,0.26910308,0.11237327166041118,0.04042501560002561,0.040263824927806856,0.009078457686420299,0.9307,0.23080195,0.1061710523884296,0.019155865809321448,0.019987098151445393,0.00627583541824948,1.4357779026031494,0.9307,0.22943257,0.10557744937145729,0.015878441175818464,0.017171696114540096,0.006185591718747748
